order_id,item_id,product_category,price,freight_value
ORD000001,1,electronics,1809.21,46.41
ORD000001,2,home_appliances,1223.32,56.12
ORD000002,3,fashion,86.23,47.5
ORD000003,4,fashion,264.39,11.47
ORD000004,5,electronics,1119.22,16.66
ORD000005,6,sports,178.29,34.56
ORD000006,7,fashion,297.65,31.7
ORD000007,8,books,40.32,11.21
ORD000008,9,electronics,453.18,17.03
ORD000008,10,electronics,1639.02,38.41
ORD000008,11,toys,94.51,44.12
ORD000009,12,beauty,155.63,19.51
ORD000009,13,fashion,323.27,35.04
ORD000009,14,fashion,344.93,52.67
ORD000010,15,home_appliances,875.47,53.7
ORD000010,16,sports,150.88,35.86
ORD000011,17,home_appliances,301.48,37.03
ORD000012,18,books,64.79,51.41
ORD000013,19,fashion,336.73,17.89
ORD000014,20,sports,196.56,35.89
ORD000015,21,fashion,260.59,37.3
ORD000016,22,sports,474.77,59.25
ORD000016,23,beauty,56.45,31.07
ORD000017,24,toys,49.5,20.21
ORD000018,25,fashion,302.2,55.62
ORD000018,26,electronics,1189.69,50.28
ORD000019,27,sports,434.0,50.37
ORD000020,28,electronics,1065.98,46.96
ORD000021,29,toys,116.6,16.47
ORD000021,30,beauty,70.81,34.83
ORD000021,31,fashion,180.08,33.88
ORD000022,32,toys,76.44,56.56
ORD000022,33,electronics,1650.92,19.81
ORD000023,34,fashion,280.08,10.9
ORD000024,35,home_appliances,627.23,16.26
ORD000025,36,sports,146.23,15.9
ORD000025,37,sports,461.42,27.59
ORD000026,38,furniture,585.8,14.6
ORD000027,39,home_appliances,1002.57,50.39
ORD000028,40,electronics,1682.83,53.66
ORD000029,41,electronics,490.65,31.93
ORD000030,42,fashion,255.72,54.52
ORD000031,43,electronics,1036.51,42.88
ORD000031,44,beauty,65.28,56.92
ORD000031,45,fashion,286.58,50.67
ORD000032,46,toys,110.97,25.14
ORD000032,47,fashion,240.42,53.45
ORD000033,48,toys,91.02,37.07
ORD000034,49,fashion,198.25,57.53
ORD000035,50,electronics,1859.28,52.07
ORD000036,51,fashion,240.89,16.14
ORD000037,52,books,34.3,21.76
ORD000037,53,home_appliances,1014.19,57.65
ORD000038,54,toys,83.25,39.41
ORD000039,55,food,24.78,52.73
ORD000040,56,electronics,1012.14,32.2
ORD000041,57,fashion,272.98,36.62
ORD000042,58,electronics,1620.79,56.86
ORD000043,59,books,70.35,51.41
ORD000043,60,fashion,301.0,20.83
ORD000043,61,electronics,1561.26,41.08
ORD000044,62,books,141.43,47.62
ORD000044,63,books,96.4,57.62
ORD000045,64,fashion,372.27,36.74
ORD000045,65,home_appliances,969.22,48.45
ORD000045,66,fashion,363.09,33.37
ORD000046,67,fashion,347.31,24.04
ORD000046,68,beauty,104.88,59.94
ORD000046,69,books,65.5,38.55
ORD000047,70,fashion,155.62,22.53
ORD000048,71,books,31.48,25.34
ORD000049,72,toys,175.61,32.19
ORD000050,73,electronics,459.21,27.94
ORD000051,74,sports,263.44,38.98
ORD000052,75,toys,128.23,57.66
ORD000053,76,fashion,311.02,22.98
ORD000054,77,fashion,127.35,53.56
ORD000055,78,fashion,271.38,19.21
ORD000056,79,home_appliances,567.33,37.67
ORD000057,80,food,99.36,58.76
ORD000058,81,toys,175.91,37.02
ORD000059,82,fashion,107.75,35.35
ORD000060,83,electronics,726.47,38.52
ORD000061,84,beauty,64.28,31.32
ORD000061,85,fashion,82.41,40.35
ORD000062,86,food,91.79,28.74
ORD000063,87,fashion,84.35,28.42
ORD000063,88,fashion,120.02,39.56
ORD000063,89,electronics,738.37,25.66
ORD000064,90,beauty,206.69,45.64
ORD000064,91,furniture,754.61,39.13
