order_id,customer_id,order_status,order_purchase_timestamp,order_delivered_customer_date
ORD000001,CUST02620,delivered,2017-01-01,2017-01-13
ORD000002,CUST00457,processing,2017-01-01,2017-01-05
ORD000003,CUST00103,delivered,2017-01-01,2017-01-20
ORD000004,CUST01127,delivered,2017-01-01,2017-01-08
ORD000005,CUST01004,delivered,2017-01-01,2017-01-07
ORD000006,CUST00915,delivered,2017-01-01,2017-01-15
ORD000007,CUST00572,delivered,2017-01-01,2017-01-13
ORD000008,CUST00420,shipped,2017-01-01,2017-01-15
ORD000009,CUST02772,delivered,2017-01-02,2017-01-14
ORD000010,CUST02234,delivered,2017-01-02,2017-01-14
ORD000011,CUST00357,delivered,2017-01-02,2017-01-20
ORD000012,CUST02419,processing,2017-01-03,2017-01-06
ORD000013,CUST01729,delivered,2017-01-03,2017-01-31
ORD000014,CUST00131,delivered,2017-01-03,2017-01-10
ORD000015,CUST00123,delivered,2017-01-04,2017-01-11
ORD000016,CUST00384,delivered,2017-01-04,2017-02-01
ORD000017,CUST00896,delivered,2017-01-04,2017-01-25
ORD000018,CUST00953,delivered,2017-01-04,2017-01-20
ORD000019,CUST02070,delivered,2017-01-05,2017-01-09
ORD000020,CUST02466,delivered,2017-01-05,2017-01-17
ORD000021,CUST00109,delivered,2017-01-05,2017-01-17
ORD000022,CUST02299,delivered,2017-01-05,2017-01-14
ORD000023,CUST00815,delivered,2017-01-05,2017-01-13
ORD000024,CUST02933,delivered,2017-01-05,2017-02-03
ORD000025,CUST02662,delivered,2017-01-05,2017-01-31
ORD000026,CUST02873,delivered,2017-01-05,2017-01-23
ORD000027,CUST02233,delivered,2017-01-06,2017-01-09
ORD000028,CUST01719,delivered,2017-01-06,2017-01-12
ORD000029,CUST00903,delivered,2017-01-06,2017-01-26
ORD000030,CUST01840,delivered,2017-01-06,2017-01-20
ORD000031,CUST02414,delivered,2017-01-06,2017-01-11
ORD000032,CUST01140,delivered,2017-01-06,2017-02-05
ORD000033,CUST00027,delivered,2017-01-06,2017-01-10
ORD000034,CUST00654,canceled,2017-01-06,2017-01-22
ORD000035,CUST02860,processing,2017-01-06,2017-01-24
ORD000036,CUST01732,delivered,2017-01-06,2017-01-27
ORD000037,CUST01394,delivered,2017-01-07,2017-01-19
ORD000038,CUST01139,delivered,2017-01-07,2017-01-28
ORD000039,CUST00637,delivered,2017-01-07,2017-01-24
ORD000040,CUST00882,delivered,2017-01-07,2017-01-20
ORD000041,CUST01379,delivered,2017-01-07,2017-02-04
ORD000042,CUST00419,delivered,2017-01-07,2017-01-22
ORD000043,CUST00380,delivered,2017-01-07,2017-01-25
ORD000044,CUST01557,canceled,2017-01-07,2017-02-05
ORD000045,CUST00397,delivered,2017-01-07,2017-02-02
ORD000046,CUST01471,delivered,2017-01-08,2017-02-06
ORD000047,CUST01409,delivered,2017-01-08,2017-01-30
ORD000048,CUST02473,delivered,2017-01-08,2017-01-15
ORD000049,CUST01084,delivered,2017-01-08,2017-02-04
ORD000050,CUST00178,delivered,2017-01-08,2017-01-15
ORD000051,CUST02989,processing,2017-01-08,2017-01-27
ORD000052,CUST01882,delivered,2017-01-09,2017-02-01
ORD000053,CUST02197,canceled,2017-01-09,2017-01-26
ORD000054,CUST00512,shipped,2017-01-09,2017-02-05
ORD000055,CUST01551,delivered,2017-01-09,2017-01-26
ORD000056,CUST00323,canceled,2017-01-09,2017-02-02
ORD000057,CUST02262,delivered,2017-01-09,2017-01-26
ORD000058,CUST01201,delivered,2017-01-09,2017-01-16
ORD000059,CUST02575,delivered,2017-01-09,2017-02-08
ORD000060,CUST02534,delivered,2017-01-09,2017-02-04
ORD000061,CUST01482,delivered,2017-01-10,2017-01-23
ORD000062,CUST02365,delivered,2017-01-10,2017-01-15
ORD000063,CUST00788,delivered,2017-01-10,2017-02-07
ORD000064,CUST02886,delivered,2017-01-10,2017-02-01
ORD000065,CUST00285,delivered,2017-01-10,2017-02-03
ORD000066,CUST00188,delivered,2017-01-10,2017-02-01
ORD000067,CUST02709,delivered,2017-01-11,2017-01-27
ORD000068,CUST00934,delivered,2017-01-11,2017-01-26
ORD000069,CUST01186,delivered,2017-01-11,2017-01-21
ORD000070,CUST00327,processing,2017-01-11,2017-01-26
ORD000071,CUST00954,delivered,2017-01-11,2017-01-24
ORD000072,CUST00414,delivered,2017-01-11,2017-01-31
ORD000073,CUST01557,delivered,2017-01-11,2017-01-15
ORD000074,CUST01139,delivered,2017-01-12,2017-02-05
ORD000075,CUST01858,delivered,2017-01-12,2017-01-29
ORD000076,CUST02604,delivered,2017-01-12,2017-02-07
