order_id,payment_type,payment_installments,payment_value
ORD000001,boleto,2,1279.74
ORD000002,voucher,1,1392.15
ORD000003,credit_card,1,981.29
ORD000004,credit_card,1,566.97
ORD000005,credit_card,12,1070.92
ORD000006,credit_card,2,1744.88
ORD000007,boleto,2,1324.76
ORD000008,debit_card,2,567.81
ORD000009,debit_card,1,824.18
ORD000010,credit_card,2,682.96
ORD000011,credit_card,1,1388.12
ORD000012,credit_card,3,616.66
ORD000013,boleto,6,1656.59
ORD000014,credit_card,1,1279.44
ORD000015,credit_card,1,1278.44
ORD000016,credit_card,6,1912.59
ORD000017,credit_card,1,836.28
ORD000018,credit_card,6,1037.07
ORD000019,boleto,1,1170.0
ORD000020,boleto,2,1877.97
ORD000021,credit_card,1,1944.73
ORD000022,voucher,1,1236.47
ORD000023,boleto,3,1753.15
ORD000024,credit_card,1,1968.82
ORD000025,credit_card,6,187.12
ORD000026,credit_card,2,200.4
ORD000027,credit_card,1,1664.18
ORD000028,boleto,1,1494.2
ORD000029,credit_card,1,417.8
ORD000030,credit_card,1,111.55
ORD000031,credit_card,3,591.94
ORD000032,credit_card,1,296.63
ORD000033,credit_card,3,982.82
ORD000034,credit_card,2,684.41
ORD000035,credit_card,1,459.93
ORD000036,credit_card,2,1917.22
ORD000037,credit_card,3,1087.38
ORD000038,boleto,1,725.31
ORD000039,credit_card,1,540.93
ORD000040,credit_card,6,732.6
ORD000041,debit_card,2,77.58
ORD000042,credit_card,1,658.78
ORD000043,credit_card,1,378.3
ORD000044,credit_card,1,98.35
ORD000045,voucher,6,1562.04
ORD000046,credit_card,1,1385.73
ORD000047,credit_card,1,1527.67
ORD000048,credit_card,2,1315.53
ORD000049,credit_card,2,1994.04
ORD000050,credit_card,12,238.25
ORD000051,credit_card,6,1866.9
ORD000052,boleto,3,228.88
ORD000053,credit_card,3,1463.31
ORD000054,credit_card,12,1446.59
ORD000055,credit_card,1,1515.15
ORD000056,boleto,6,1547.57
ORD000057,credit_card,6,611.28
ORD000058,credit_card,6,235.67
ORD000059,credit_card,1,157.19
ORD000060,credit_card,1,171.69
ORD000061,credit_card,12,476.94
ORD000062,credit_card,1,1193.08
ORD000063,credit_card,12,551.65
ORD000064,credit_card,1,1680.42
ORD000065,credit_card,1,909.32
